CT_arm,endpoint,관할,행커버리지,성분커버리지_평균,집계범위,n,양성,유병률,정확도,재현율,특이도,정밀도,BA,MCC,tp,fp,fn,tn
A0_base,eye,EU_CLP,0.4444,0.4969,규칙판정행만,464,146,0.3147,0.7457,0.4452,0.8836,0.6373,0.6644,0.3688,65,37,81,281
A0_base,eye,EU_CLP,0.4444,0.4969,전체(미판정=음성),1044,386,0.3697,0.6571,0.1684,0.9438,0.6373,0.5561,0.1824,65,37,321,621
A0_base,eye,EU_CLP,0.4444,0.4969,"성분커버리지_[0.00,0.25)",83,22,0.2651,0.7349,0.1818,0.9344,0.5,0.5581,0.1738,4,4,18,57
A0_base,eye,EU_CLP,0.4444,0.4969,"성분커버리지_[0.25,0.50)",141,40,0.2837,0.7163,0.4,0.8416,0.5,0.6208,0.26,16,16,24,85
A0_base,eye,EU_CLP,0.4444,0.4969,"성분커버리지_[0.50,0.75)",146,51,0.3493,0.7534,0.5098,0.8842,0.7027,0.697,0.4319,26,11,25,84
A0_base,eye,EU_CLP,0.4444,0.4969,"성분커버리지_[0.75,1.01)",94,33,0.3511,0.7872,0.5758,0.9016,0.76,0.7387,0.5157,19,6,14,55
A0_base,skin,EU_CLP,0.4353,0.5085,규칙판정행만,461,138,0.2993,0.7007,0.3043,0.87,0.5,0.5872,0.2068,42,42,96,281
A0_base,skin,EU_CLP,0.4353,0.5085,전체(미판정=음성),1059,356,0.3362,0.6638,0.118,0.9403,0.5,0.5291,0.1018,42,42,314,661
A0_base,skin,EU_CLP,0.4353,0.5085,"성분커버리지_[0.00,0.25)",74,22,0.2973,0.6757,0.0455,0.9423,0.25,0.4939,-0.0247,1,3,21,49
A0_base,skin,EU_CLP,0.4353,0.5085,"성분커버리지_[0.25,0.50)",137,40,0.292,0.7445,0.325,0.9175,0.619,0.6213,0.3061,13,8,27,89
A0_base,skin,EU_CLP,0.4353,0.5085,"성분커버리지_[0.50,0.75)",153,48,0.3137,0.6471,0.25,0.8286,0.4,0.5393,0.0918,12,18,36,87
A0_base,skin,EU_CLP,0.4353,0.5085,"성분커버리지_[0.75,1.01)",97,28,0.2887,0.7423,0.5714,0.8116,0.5517,0.6915,0.3791,16,13,12,56
A2_aug_nc_unknown,eye,EU_CLP,0.5814,0.5591,규칙판정행만,607,232,0.3822,0.6985,0.6207,0.7467,0.6025,0.6837,0.3654,144,95,88,280
A2_aug_nc_unknown,eye,EU_CLP,0.5814,0.5591,전체(미판정=음성),1044,386,0.3697,0.6772,0.3731,0.8556,0.6025,0.6143,0.2627,144,95,242,563
A2_aug_nc_unknown,eye,EU_CLP,0.5814,0.5591,"성분커버리지_[0.00,0.25)",67,25,0.3731,0.6418,0.48,0.7381,0.5217,0.609,0.2222,12,11,13,31
A2_aug_nc_unknown,eye,EU_CLP,0.5814,0.5591,"성분커버리지_[0.25,0.50)",162,43,0.2654,0.642,0.3953,0.7311,0.3469,0.5632,0.1216,17,32,26,87
A2_aug_nc_unknown,eye,EU_CLP,0.5814,0.5591,"성분커버리지_[0.50,0.75)",214,88,0.4112,0.7477,0.75,0.746,0.6735,0.748,0.4899,66,32,22,94
A2_aug_nc_unknown,eye,EU_CLP,0.5814,0.5591,"성분커버리지_[0.75,1.01)",164,76,0.4634,0.7134,0.6447,0.7727,0.7101,0.7087,0.4217,49,20,27,68
A2_aug_nc_unknown,skin,EU_CLP,0.5212,0.5452,규칙판정행만,552,191,0.346,0.7029,0.4921,0.8144,0.5839,0.6533,0.3208,94,67,97,294
A2_aug_nc_unknown,skin,EU_CLP,0.5212,0.5452,전체(미판정=음성),1059,356,0.3362,0.6893,0.264,0.9047,0.5839,0.5844,0.222,94,67,262,636
A2_aug_nc_unknown,skin,EU_CLP,0.5212,0.5452,"성분커버리지_[0.00,0.25)",63,20,0.3175,0.6667,0.25,0.8605,0.4545,0.5552,0.1354,5,6,15,37
A2_aug_nc_unknown,skin,EU_CLP,0.5212,0.5452,"성분커버리지_[0.25,0.50)",153,44,0.2876,0.7059,0.2955,0.8716,0.4815,0.5835,0.1983,13,14,31,95
A2_aug_nc_unknown,skin,EU_CLP,0.5212,0.5452,"성분커버리지_[0.50,0.75)",204,75,0.3676,0.6863,0.5467,0.7674,0.5775,0.6571,0.3179,41,30,34,99
A2_aug_nc_unknown,skin,EU_CLP,0.5212,0.5452,"성분커버리지_[0.75,1.01)",132,52,0.3939,0.7424,0.6731,0.7875,0.6731,0.7303,0.4606,35,17,17,63
