,eye,skin,묶음
f_ct_eye_cat_1,0.020851569187420132,0.005575738789080596,① 규칙 판정 (원-핫)
f_ct_eye_cat_2A,0.006074769416960197,0.005593681534947179,① 규칙 판정 (원-핫)
f_ct_eye_cat_NC,0.01736533135083123,0.008748840329219462,① 규칙 판정 (원-핫)
f_ct_eye_cat___NA__,0.00893584863468185,0.00627020019036226,① 규칙 판정 (원-핫)
f_ct_skin_cat_1,0.002138664617286162,0.007325254904779435,① 규칙 판정 (원-핫)
f_ct_skin_cat_2,0.004357473527806803,0.005538058270826823,① 규칙 판정 (원-핫)
f_ct_skin_cat_NC,0.008689776128447619,0.00962548541226058,① 규칙 판정 (원-핫)
f_ct_skin_cat___NA__,0.0055039217731903765,0.007831807387728016,① 규칙 판정 (원-핫)
f_ct_eye_ord,0.03819210525812219,0.019797794092910215,② 규칙 판정 (서수)
f_ct_skin_ord,0.01957773621786427,0.031221966208801483,② 규칙 판정 (서수)
f_ct_eye_add,0.12179056614627322,0.08225021437870858,③ 가산식 원값
f_ct_eye_s1,0.07987084044452526,0.04731100603916362,③ 가산식 원값
f_ct_eye_s2,0.05079673751743309,0.04873791610371548,③ 가산식 원값
f_ct_skin_add,0.056559382853053716,0.08358826591843434,③ 가산식 원값
f_ct_skin_s1,0.015924379678373738,0.0245254627816952,③ 가산식 원값
f_ct_skin_s2,0.043381088256791475,0.05243318013501406,③ 가산식 원값
f_max_pct,0.11666187383128501,0.13069890671304712,④ 역할별 농도
f_pct_active_presumed,0.11023682416449128,0.12778017099814115,④ 역할별 농도
f_pct_carrier_inert,0.017011426980123014,0.01683331057135061,④ 역할별 농도
f_pct_fragrance_dye,0.006390956236336809,0.016451483914620233,④ 역할별 농도
f_pct_ph_adjuster,0.0013282035460458407,0.00202575499121573,④ 역할별 농도
f_pct_preservative,0.0018505250866848004,0.001730820683827724,④ 역할별 농도
f_pct_propellant,0.0032339004492195054,0.002726863518225662,④ 역할별 농도
f_pct_solvent,0.02533254357240384,0.02584419912176266,④ 역할별 농도
f_pct_surfactant,0.013697769684087837,0.008556698889856055,④ 역할별 농도
f_pct_synergist,0.001934614921860281,0.003979510974600819,④ 역할별 농도
f_pct_unknown,0.06839999455710125,0.06802237401624384,④ 역할별 농도
f_pct_water,0.0019129120722190065,0.0025152638027373508,④ 역할별 농도
f_shannon,0.06679292427173321,0.07305381782799147,⑤ 조성 다양성
f_simpson,0.06368167452560944,0.07019088878056731,⑤ 조성 다양성
f_has_synergist,0.0015236650917375613,0.003215062718164967,⑥ 이진 플래그
