행번호,Formulation_ID,ing_cas_best,ing_name_best,ing_pct_best,endpoint,키,구분,tier,근거,동일성등급
37,EyeIrritation6pack_PID100,135590-91-9,Mefenpyr-diethyl,8.74,eye,135590-91-9,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
38,EyeIrritation6pack_PID100,208465-21-8,Mesosulfuron-methyl,2.91,eye,208465-21-8,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
42,EyeIrritation6pack_PID100,104-76-7,Ethylhexan-1-ol <,2.0,eye,104-76-7,2A,echa_cl,tier2_ECHA_CL_H코드(1:H코드(H319@98.7%)),CAS_동의어일치
43,EyeIrritation6pack_PID100,91-20-3,Naphthalene <,1.0,eye,91-20-3,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
46,EyeIrritation6pack_PID1000,2303-17-5,Tri-allate,50.0,eye,2303-17-5,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
101,EyeIrritation6pack_PID1019,52315-07-8,cypermethrin cis/trans +/- /60,24.8,eye,52315-07-8,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
123,EyeIrritation6pack_PID1027,122548-33-8,Imazosulfuron Technical,75.0,eye,122548-33-8,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
139,EyeIrritation6pack_PID103,131860-33-8,Azoxystrobin,0.12,eye,131860-33-8,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
142,EyeIrritation6pack_PID103,131341-86-1,Fludioxonil,0.3,eye,131341-86-1,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
143,EyeIrritation6pack_PID103,148-79-8,Thiabendazole,2.34,eye,148-79-8,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
166,EyeIrritation6pack_PID1038,5234-68-4,carboxin,35.52,eye,5234-68-4,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
167,EyeIrritation6pack_PID1038,125225-28-7,ipconazole,2.22,eye,125225-28-7,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
181,EyeIrritation6pack_PID1042,57-55-6,"propane-,2-diol propane-1,2-diol >= 5 - < 10",5.0,eye,57-55-6,NC,echa_cl,NC_tier2_명시_미분류,CAS_동의어일치
202,EyeIrritation6pack_PID1048,107534-96-3,Tebuconazole,0.5,eye,107534-96-3,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
203,EyeIrritation6pack_PID1048,7758-98-7,Copper sulfate 0.1,0.55,eye,7758-98-7,2A,annex_vi,tier1_AnnexVI_H코드(H319),CAS_동의어일치
223,EyeIrritation6pack_PID1056,175013-18-0,Pyraclostrobin,28.58,eye,175013-18-0,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
225,EyeIrritation6pack_PID1056,907204-31-3,Fluxapyroxad,14.33,eye,907204-31-3,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
236,EyeIrritation6pack_PID1060,,ametoctradin,26.9,eye,ametoctradin,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
240,EyeIrritation6pack_PID1060,,ethylbenzene,1.0,eye,ethylbenzene,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
278,EyeIrritation6pack_PID120,,Pyraclostrobin,6.7,eye,Pyraclostrobin,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
279,EyeIrritation6pack_PID120,,Fluxapyroxad,14.33,eye,Fluxapyroxad,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
280,EyeIrritation6pack_PID120,,Bronopol,5.0,eye,Bronopol,1,annex_vi,tier1_AnnexVI_H코드(H318),이름_동의어일치
281,EyeIrritation6pack_PID120,,"1,2-Benzisothiazol-3(2H)-one",0.05,eye,"1,2-Benzisothiazol-3(2H)-one",1,annex_vi,tier1_AnnexVI_H코드(H318),이름_동의어일치
282,EyeIrritation6pack_PID120,,Methylisothiazolinone,0.01,eye,Methylisothiazolinone,1,annex_vi,tier1_AnnexVI_H코드(H318),이름_동의어일치
283,EyeIrritation6pack_PID120,,Propylene Glycol,10.0,eye,Propylene Glycol,NC,echa_cl,NC_tier2_명시_미분류,이름_동의어일치
397,EyeIrritation6pack_PID182,175013-18-0,Pyraclostrobin,20.0,eye,175013-18-0,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
409,EyeIrritation6pack_PID186,104206-82-8,Mesotrione,5.36,eye,104206-82-8,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
418,EyeIrritation6pack_PID196,133-06-2,"Captan: N-[(trichloromethyl)thio]-4-cyclohexene-1, 2-",55.0,eye,133-06-2,1,annex_vi,tier1_AnnexVI_H코드(H318),CAS_동의어일치
428,EyeIrritation6pack_PID205,7173-51-5,Didecyldimethylammonium chloride -No,0.76,eye,7173-51-5,1,annex_vi,tier1_AnnexVI_H코드(H314),CAS_동의어일치
429,EyeIrritation6pack_PID213,317815-83-1,Thiencarbazone-methyl,8.7,eye,317815-83-1,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
430,EyeIrritation6pack_PID213,144550-36-7,Iodosulfuron-methyl-sodium,1.9,eye,144550-36-7,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
431,EyeIrritation6pack_PID213,1918-00-9,Dicamba,57.4,eye,1918-00-9,1,annex_vi,tier1_AnnexVI_H코드(H318),CAS_동의어일치
499,EyeIrritation6pack_PID24,14433-76-2,"Decanamide, N,N-dimethyl-",27.5,eye,14433-76-2,2A,echa_cl,tier2_ECHA_CL_H코드(1:H코드(H319@99.8%)),CAS_동의어일치
502,EyeIrritation6pack_PID240,114311-32-9,imazamox,2.7,eye,114311-32-9,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
542,EyeIrritation6pack_PID267,,Coumaphos,100.0,eye,Coumaphos,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
543,EyeIrritation6pack_PID269,68157-60-8,Forchlorfenuron 1 not set not set,1.0,eye,68157-60-8,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
550,EyeIrritation6pack_PID271,874967-67-6,"1H-Pyrazole-4-carboxamide, N-(2-[1,1'- bicyclopropyl]-2-ylphenyl)-3- (difluoromethyl)-1-methyl-",0.72,eye,874967-67-6,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
551,EyeIrritation6pack_PID271,874967-67-6,Sedaxane,0.72,eye,874967-67-6,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
566,EyeIrritation6pack_PID274,7758-19-2,Sodium chlorite,0.75,eye,7758-19-2,1,echa_cl,tier2_ECHA_CL_H코드(1:H코드(H314@90.9%)),CAS_동의어일치
567,EyeIrritation6pack_PID274,7173-51-5,Didecyldimethylammonium chloride,1.0,eye,7173-51-5,1,annex_vi,tier1_AnnexVI_H코드(H314),CAS_동의어일치
574,EyeIrritation6pack_PID277,1897-45-6,Chlorothalonil not listed,54.0,eye,1897-45-6,1,annex_vi,tier1_AnnexVI_H코드(H318),CAS_동의어일치
583,EyeIrritation6pack_PID283,,"1,2-Benzisothiazol-3(2H)-one",0.05,eye,"1,2-Benzisothiazol-3(2H)-one",1,annex_vi,tier1_AnnexVI_H코드(H318),이름_동의어일치
622,EyeIrritation6pack_PID314,,Dichloroprop,0.1,eye,Dichloroprop,1,annex_vi,tier1_AnnexVI_H코드(H318),이름_동의어일치
635,EyeIrritation6pack_PID327,330-54-1,"Diuron 3-(3,4-dichlorophenyl)-1,1-dimethylurea",40.7,eye,330-54-1,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
649,EyeIrritation6pack_PID343,,Elemental Sulfur,52.0,eye,Elemental Sulfur,NC,echa_cl,NC_tier2_명시_미분류,이름_동의어일치
653,EyeIrritation6pack_PID345,51707-55-2,Thidiazuron,21.43,eye,51707-55-2,2A,echa_cl,tier2_ECHA_CL_H코드(1:H코드(H319@93.5%)),CAS_동의어일치
654,EyeIrritation6pack_PID345,330-54-1,Diuron,10.71,eye,330-54-1,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
655,EyeIrritation6pack_PID345,57-55-6,2-Propanediol <,10.0,eye,57-55-6,NC,echa_cl,NC_tier2_명시_미분류,CAS_동의어일치
657,EyeIrritation6pack_PID345,2634-33-5,2-Benzisothiazol-3(2H)-one >= 0.005 - <=,0.005,eye,2634-33-5,1,annex_vi,tier1_AnnexVI_H코드(H318),CAS_동의어일치
662,EyeIrritation6pack_PID348,,Methyl ethyl ketone > 35.0,45.0,eye,Methyl ethyl ketone > 35.0,2A,annex_vi,tier1_AnnexVI_H코드(H319),이름_동의어일치
664,EyeIrritation6pack_PID348,,Ethyl acetate > 10.0,20.0,eye,Ethyl acetate > 10.0,2A,annex_vi,tier1_AnnexVI_H코드(H319),이름_동의어일치
665,EyeIrritation6pack_PID348,,Methylenediphenyl diisocyanate,10.0,eye,Methylenediphenyl diisocyanate,2A,annex_vi,tier1_AnnexVI_H코드(H319),이름_동의어일치
666,EyeIrritation6pack_PID348,,3-Methoxy-1-butyl acetate,10.0,eye,3-Methoxy-1-butyl acetate,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
669,EyeIrritation6pack_PID348,,Propylene glycol monomethyl,10.0,eye,Propylene glycol monomethyl,2A,echa_cl,tier2_ECHA_CL_H코드(1:H코드(H319@70.0%)),이름_동의어일치
671,EyeIrritation6pack_PID348,,n-Butyl Acetate,5.0,eye,n-Butyl Acetate,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
676,EyeIrritation6pack_PID348,,Ethylbenzene,1.0,eye,Ethylbenzene,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
678,EyeIrritation6pack_PID349,117428-22-5,Picoxystrobin,17.94,eye,117428-22-5,2A,echa_cl,tier2_ECHA_CL_H코드(1:H코드(H319@98.9%)),CAS_동의어일치
679,EyeIrritation6pack_PID349,94361-06-5,Cyproconazole,7.17,eye,94361-06-5,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
682,EyeIrritation6pack_PID350,57966-95-7,Cymoxanil,60.0,eye,57966-95-7,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
683,EyeIrritation6pack_PID350,110-17-8,Fumaric Acid,5.0,eye,110-17-8,2A,annex_vi,tier1_AnnexVI_H코드(H319),CAS_동의어일치
698,EyeIrritation6pack_PID355,,Urea,51.5,eye,Urea,NC,echa_cl,NC_tier2_명시_미분류,이름_동의어일치
700,EyeIrritation6pack_PID355,,Prodiamine,0.43,eye,Prodiamine,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
728,EyeIrritation6pack_PID363,,"Ethyl 5,5-diphenyl-2-isoxazoline-3-carboxylate",8.3,eye,"Ethyl 5,5-diphenyl-2-isoxazoline-3-carboxylate",NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
746,EyeIrritation6pack_PID367,2634-33-5,2-benzisothiazol-3(2H)-one >=0.025-<0.05,0.025,eye,2634-33-5,1,annex_vi,tier1_AnnexVI_H코드(H318),CAS_동의어일치
748,EyeIrritation6pack_PID368,52-68-6,Trichlorfon,37.3,eye,52-68-6,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
771,EyeIrritation6pack_PID376,,Glycol ether,85.0,eye,Glycol ether,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
819,EyeIrritation6pack_PID390,1897-45-6,chlorothalonil,54.14,eye,1897-45-6,1,annex_vi,tier1_AnnexVI_H코드(H318),CAS_동의어일치
822,EyeIrritation6pack_PID390,57-55-6,Propylene glycol,7.5,eye,57-55-6,NC,echa_cl,NC_tier2_명시_미분류,CAS_동의어일치
827,EyeIrritation6pack_PID391,57-55-6,"propane-,2-diol >= 5 - <",5.0,eye,57-55-6,NC,echa_cl,NC_tier2_명시_미분류,CAS_동의어일치
828,EyeIrritation6pack_PID391,91-57-6,methyl-naphthalene >= 1 - <,1.0,eye,91-57-6,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
832,EyeIrritation6pack_PID391,2634-33-5,2-benzisothiazol-3(2H)-one >= 0.05 - <,0.05,eye,2634-33-5,1,annex_vi,tier1_AnnexVI_H코드(H318),CAS_동의어일치
872,EyeIrritation6pack_PID411,8003-34-7,Pyrethrins 232-319-8,0.05,eye,8003-34-7,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
873,EyeIrritation6pack_PID411,51-03-6,Piperonyl Butoxide 200-076-7,0.1,eye,51-03-6,2A,annex_vi,tier1_AnnexVI_H코드(H319),CAS_동의어일치
874,EyeIrritation6pack_PID411,113-48-4,MGK®-264 (N-Octyl Bicycloheptene Dicarboximide) 0.16 204-029-1,0.16,eye,113-48-4,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
897,EyeIrritation6pack_PID417,52315-07-8,Cypermethrin,0.076,eye,52315-07-8,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
911,EyeIrritation6pack_PID426,,Fenpropimorph,79.8,eye,Fenpropimorph,NC,echa_cl,NC_tier2_ECHA_CL_무코드,이름_동의어일치
913,EyeIrritation6pack_PID426,,Isobutanol,5.0,eye,Isobutanol,1,annex_vi,tier1_AnnexVI_H코드(H318),이름_동의어일치
915,EyeIrritation6pack_PID43,135410-20-7,Acetamiprid,0.26,eye,135410-20-7,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
921,EyeIrritation6pack_PID435,158062-67-0,Flonicamid,98.4,eye,158062-67-0,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
927,EyeIrritation6pack_PID438,104040-78-0,Active Ingredient: Flazasulfuron* 25 Not established,25.0,eye,104040-78-0,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
947,EyeIrritation6pack_PID458,658066-35-4,Fluopyram,98.6,eye,658066-35-4,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
948,EyeIrritation6pack_PID459,658066-35-4,Fluopyram,17.4,eye,658066-35-4,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
949,EyeIrritation6pack_PID459,178928-70-6,Prothioconazole,17.4,eye,178928-70-6,NC,echa_cl,NC_tier2_ECHA_CL_무코드,CAS_동의어일치
