Formulation_ID,ing_cas_best,ing_name_best,endpoint,버린_구분,사유
EyeIrritation6pack_PID1004,131983-72-7,Triticonazole,eye,NC,농도결측
EyeIrritation6pack_PID103,57-55-6,Propylene Glycol,eye,NC,농도결측
EyeIrritation6pack_PID103,70630-17-0,(R)-Metalaxyl,eye,1,농도결측
EyeIrritation6pack_PID1033,1689-99-2,Bromoxynil octanoate,eye,NC,농도결측
EyeIrritation6pack_PID1033,56634-95-8,Bromoxynil heptanoate,eye,NC,농도결측
EyeIrritation6pack_PID1033,365400-11-9,Pyrasulfotole,eye,NC,농도결측
EyeIrritation6pack_PID1033,108-32-7,Propylene carbonate >= 10.00 - <=,eye,2A,농도결측
EyeIrritation6pack_PID1033,91-20-3,Naphthalene <,eye,NC,농도결측
EyeIrritation6pack_PID1033,104-76-7,Ethylhexan-1-ol <,eye,2A,농도결측
EyeIrritation6pack_PID1033,135590-91-9,Mefenpyr-diethyl,eye,NC,농도결측
EyeIrritation6pack_PID1054,10025-77-1,Ferric chloride hexahydrate,eye,1,농도결측
EyeIrritation6pack_PID1056,52-51-7,bronopol,eye,1,농도결측
EyeIrritation6pack_PID115,97-99-4,Tetrahydrofurfuryl alcohol 30,eye,2A,농도결측
EyeIrritation6pack_PID128,,"1,2-Benzisothiazol-3(2H)-one",eye,1,농도결측
EyeIrritation6pack_PID128,,Bronopol,eye,1,농도결측
EyeIrritation6pack_PID128,,Propylene Glycol,eye,NC,농도결측
EyeIrritation6pack_PID144,7447-40-7,Muriate of Potash,eye,NC,농도결측
EyeIrritation6pack_PID154,135410-20-7,Acetamiprid,eye,NC,농도결측
EyeIrritation6pack_PID155,135410-20-7,Acetamiprid,eye,NC,농도결측
EyeIrritation6pack_PID167,52315-07-8,Cypermethrin,eye,NC,농도결측
EyeIrritation6pack_PID168,131929-60-7,Note : Spinosad is comprised of Spinosyn A () and Spinosyn D,eye,NC,농도결측
EyeIrritation6pack_PID225,16389-88-1,Dolomite granules,eye,NC,농도결측
EyeIrritation6pack_PID225,7447-40-7,Potassium Chloride,eye,NC,농도결측
EyeIrritation6pack_PID277,57-55-6,Propylene Glycol not listed,eye,NC,농도결측
EyeIrritation6pack_PID289,86753-92-6,"Synonyms : cypermethrin,Cypermethrin, High Effect",eye,NC,농도결측
EyeIrritation6pack_PID301,872-05-9,"Synonyms : 1-Decene,decene",eye,NC,농도결측
EyeIrritation6pack_PID313,,"1,2-Benzisothiazol-3(2H)-one",eye,1,농도결측
EyeIrritation6pack_PID370,,Propylene Glycol,eye,NC,농도결측
EyeIrritation6pack_PID393,148477-71-8,Spirodiclofen,eye,NC,농도결측
EyeIrritation6pack_PID393,2634-33-5,"1,2-Benzisothiazol-3(2H)-one",eye,1,농도결측
EyeIrritation6pack_PID433,7778-77-0,from Monopotassium Phosphate not listed,eye,NC,농도결측
EyeIrritation6pack_PID459,2634-33-5,"1,2-Benzisothiazol-3(2H)-one",eye,1,농도결측
EyeIrritation6pack_PID459,57-55-6,Propylene Glycol,eye,NC,농도결측
EyeIrritation6pack_PID478,57-55-6,Propylene glycol,eye,NC,농도결측
EyeIrritation6pack_PID495,131929-60-7,Spinosad A,eye,NC,농도결측
EyeIrritation6pack_PID495,131929-63-0,Spinosad D,eye,NC,농도결측
EyeIrritation6pack_PID497,,"1,2-Benzisothiazol-3(2H)-one",eye,1,농도결측
EyeIrritation6pack_PID506,161050-58-4,Methoxyfenozide,eye,NC,농도결측
EyeIrritation6pack_PID506,,Spinetoram,eye,NC,농도결측
