키,cas,이름,cid,동일성등급,동일성보류,조회질의,CID후보수,CID후보전체,cas_후보수,이름_후보수,성분행수,eye_구분,eye_보류값,skin_구분,skin_보류값,출처URL
1322-93-6,1322-93-6,Sodium diisopropylnaphthalenesulphonate,162217.0,보류_다중CID,다중CID2,1322-93-6,2.0,162217|23696338,1,2,4,,,,NC,https://pubchem.ncbi.nlm.nih.gov/compound/162217
55965-84-9,55965-84-9,mixture of: 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1),41679.0,보류_혼합물명,혼합물명,55965-84-9,1.0,41679,1,3,3,,1,,1,https://pubchem.ncbi.nlm.nih.gov/compound/41679
8061-51-6,8061-51-6,Sodium lignosulfonate,44135711.0,보류_다중CID,다중CID2,8061-51-6,2.0,44135711|25113562,1,1,1,,NC,,NC,https://pubchem.ncbi.nlm.nih.gov/compound/44135711
9000-24-2,9000-24-2,"Galbanum oil (essential oil, UVCB)",131750174.0,보류_혼합물명,혼합물명,9000-24-2,1.0,131750174,1,1,1,,NC,,NC,https://pubchem.ncbi.nlm.nih.gov/compound/131750174
89-78-1,89-78-1,Menthol,1254.0,보류_다중CID,다중CID9,89-78-1,9.0,1254|16666|165675|1715097|19244|45056|439263|6566020,1,1,1,,2A,,2,https://pubchem.ncbi.nlm.nih.gov/compound/1254
224031-70-3,224031-70-3,1-(Spiro[4.5]dec-7-en-7-yl)pent-4-en-1-one / 1-(Spiro[4.5]dec-6-en-7-yl)pent-4-en-1-one (isomer mixture),15405344.0,보류_혼합물명,혼합물명,224031-70-3,1.0,15405344,1,1,1,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/15405344
458-37-7,458-37-7,Curcuma longa Root Oil (Curcuma Essential Oil),969516.0,보류_혼합물명,혼합물명,458-37-7,1.0,969516,1,1,1,,2A,,2,https://pubchem.ncbi.nlm.nih.gov/compound/969516
39464-70-5,39464-70-5,Phenol ethoxylate phosphate ester (2-Phenoxyethanol계),62906.0,보류_혼합물명,혼합물명,39464-70-5,1.0,62906,1,1,1,,2A,,2,https://pubchem.ncbi.nlm.nih.gov/compound/62906
1312-76-1,1312-76-1,Potassium silicate,15778988.0,보류_혼합물명,혼합물명,Potassium silicate,1.0,15778988,1,1,1,,1,,2,https://pubchem.ncbi.nlm.nih.gov/compound/15778988
15358-88-0,15358-88-0,Isopinocamphone (3-Pinanone),11038.0,보류_다중CID,다중CID2,15358-88-0,2.0,11038|84532,1,1,1,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/11038
65195-53-1,65195-53-1,Other ingredients (NE - not established),6450339.0,보류_다중CID,다중CID7,65195-53-1,7.0,6450339|11953987|167994194|169432408|3085313|73152344|165359480,1,1,1,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/6450339
73038-25-2,73038-25-2,"iso-Tridecyl alcohol, ethoxylated, phosphated (Poly(oxy-1,2-ethanediyl), alpha-isotridecyl-omega-hydroxy-, phosphate)",175401.0,보류_혼합물명,혼합물명,73038-25-2,1.0,175401,1,1,1,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/175401
72903-27-6,72903-27-6,"Diethyl 1,4-cyclohexanedicarboxylate (mixture of cis/trans isomers)",254555.0,보류_혼합물명,혼합물명,72903-27-6,1.0,254555,1,1,1,,NC,,NC,https://pubchem.ncbi.nlm.nih.gov/compound/254555
Disodium phosphate,,Disodium phosphate,24203.0,이름_동의어일치,,Disodium phosphate,1.0,24203,0,1,3,,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/24203
39148-24-8,39148-24-8,Fosetyl-Al,6328269.0,이름_동의어일치,,Fosetyl-Al,1.0,6328269,1,1,2,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/6328269
Coumaphos,,Coumaphos,2871.0,이름_동의어일치,,Coumaphos,1.0,2871,0,1,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/2871
"1,2-Benzisothiazol-3(2H)-one",,"1,2-Benzisothiazol-3(2H)-one",17520.0,이름_동의어일치,,"1,2-Benzisothiazol-3(2H)-one",1.0,17520,0,1,2,1,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/17520
p-Menthan-3-one,,p-Menthan-3-one,6986.0,이름_동의어일치,,p-Menthan-3-one,1.0,6986,0,1,2,NC,,,,https://pubchem.ncbi.nlm.nih.gov/compound/6986
ethylbenzene,,ethylbenzene,7500.0,이름_동의어일치,,ethylbenzene,1.0,7500,0,1,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/7500
ametoctradin,,ametoctradin,15604010.0,이름_동의어일치,,ametoctradin,1.0,15604010,0,1,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/15604010
Propylene Glycol,,Propylene Glycol,1030.0,이름_동의어일치,,Propylene Glycol,1.0,1030,0,1,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/1030
Glycol ether,,Glycol ether,8117.0,이름_동의어일치,,Glycol ether,1.0,8117,0,1,2,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/8117
(-)-Caryophyllene,,(-)-Caryophyllene,5281515.0,이름_동의어일치,,(-)-Caryophyllene,1.0,5281515,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/5281515
Citronellyl Acetate,,Citronellyl Acetate,9017.0,이름_동의어일치,,Citronellyl Acetate,1.0,9017,0,1,1,,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/9017
Prodiamine,,Prodiamine,34469.0,이름_동의어일치,,Prodiamine,1.0,34469,0,1,1,NC,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/34469
Nerol,,Nerol,643820.0,이름_동의어일치,,Nerol,1.0,643820,0,1,1,,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/643820
Methylisothiazolinone,,Methylisothiazolinone,39800.0,이름_동의어일치,,Methylisothiazolinone,1.0,39800,0,1,1,1,,1,,https://pubchem.ncbi.nlm.nih.gov/compound/39800
Methylenediphenyl diisocyanate,,Methylenediphenyl diisocyanate,7570.0,이름_동의어일치,,Methylenediphenyl diisocyanate,1.0,7570,0,1,1,2A,,2,,https://pubchem.ncbi.nlm.nih.gov/compound/7570
Methyl ethyl ketone > 35.0,,Methyl ethyl ketone > 35.0,6569.0,이름_동의어일치,,Methyl ethyl ketone,1.0,6569,0,1,1,2A,,NC,,https://pubchem.ncbi.nlm.nih.gov/compound/6569
Mesitylene,,Mesitylene,7947.0,이름_동의어일치,,Mesitylene,1.0,7947,0,1,1,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/7947
