endpoint,층,검정성격,n,심각도일치,일치율,조사가_과대,조사가_과소,정확일치,표본충분
eye,결함정답_annexvi_NC,채점 제외 — 정답이 틀렸다,154,150,0.974,4,0,150,
eye,전체,혼합 — 인용 금지,182,178,0.978,1,3,134,
eye,MSDS유래,독립 정확도 검정,99,97,0.9798,1,1,96,
eye,MSDS유래·CAS_동의어일치,독립 정확도 검정,88,86,0.9773,1,1,85,1.0
eye,MSDS유래·이름_동의어일치,독립 정확도 검정,11,11,1.0,0,0,11,1.0
eye,독립조사유래,순환 — 재현성만,83,81,0.9759,0,2,38,
eye,독립조사유래·CAS_동의어일치,순환 — 재현성만,82,80,0.9756,0,2,37,1.0
eye,독립조사유래·이름_동의어일치,순환 — 재현성만,1,1,1.0,0,0,1,0.0
skin,결함정답_annexvi_NC,채점 제외 — 정답이 틀렸다,183,183,1.0,0,0,183,
skin,전체,혼합 — 인용 금지,159,158,0.9937,0,1,157,
skin,MSDS유래,독립 정확도 검정,104,104,1.0,0,0,103,
skin,MSDS유래·CAS_동의어일치,독립 정확도 검정,91,91,1.0,0,0,90,1.0
skin,MSDS유래·이름_동의어일치,독립 정확도 검정,13,13,1.0,0,0,13,1.0
skin,독립조사유래,순환 — 재현성만,55,54,0.9818,0,1,54,
skin,독립조사유래·CAS_동의어일치,순환 — 재현성만,54,53,0.9815,0,1,53,1.0
skin,독립조사유래·이름_동의어일치,순환 — 재현성만,1,1,1.0,0,0,1,0.0
