키,cas,이름,성분행수,제형수,cas_후보수,이름_후보수,조회경로,조회질의,CID후보수,CID후보전체,동일성등급,동일성보류,조회일자,기존_eye,기존_eye_후보수,기존_skin,기존_skin_후보수,cid,출처URL,캐시파일,조회상태,eye_후보,eye_구분,eye_근거,eye_출처tier,eye_합의율,eye_참고출처값,eye_교차불일치,skin_후보,skin_구분,skin_근거,skin_출처tier,skin_합의율,skin_참고출처값,skin_교차불일치,기존_eye_출처,기존_skin_출처,판정일자,원문취득일자,기존_eye_tier,기존_skin_tier,eye_보류값,skin_보류값
138261-41-3,138261-41-3,Imidacloprid,68,68,1,8,CAS,138261-41-3,1.0,86287518,CAS_동의어일치,,,NC,1,NC,1,86287518.0,https://pubchem.ncbi.nlm.nih.gov/compound/86287518,ghs_69c541a6dc86f4004c2db1ba.json,성공,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC,0.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC,0.0,MSDS유래,MSDS유래,2026-09-14,2026-09-14,,,,
82657-04-3,82657-04-3,Bifenthrin,58,56,1,10,CAS,82657-04-3,1.0,6442842,CAS_동의어일치,,,NC,1,NC,1,6442842.0,https://pubchem.ncbi.nlm.nih.gov/compound/6442842,ghs_c2c5c89a7aef5ee6bf3dd3ba.json,성공,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC|NC,0.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC|NC,0.0,MSDS유래,MSDS유래,2026-09-14,2026-09-14,,,,
107534-96-3,107534-96-3,Tebuconazole,53,53,1,5,CAS,107534-96-3,1.0,86102,CAS_동의어일치,,,NC,1,NC,1,86102.0,https://pubchem.ncbi.nlm.nih.gov/compound/86102,ghs_09f05e606d324285b609a92d.json,성공,참고_NITE-CMC#110:H320,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,2B|NC,1.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC,0.0,독립조사유래,독립조사유래,2026-09-14,2026-09-14,annex_vi,annex_vi,,
153719-23-4,153719-23-4,Thiamethoxam,36,34,1,6,CAS,153719-23-4,1.0,5821911,CAS_동의어일치,,,NC,1,NC,1,5821911.0,https://pubchem.ncbi.nlm.nih.gov/compound/5821911,ghs_7034abb46f61b24831b02efb.json,성공,참고_NITE-CMC#70:미분류@비율미상,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC,0.0,참고_NITE-CMC#70:미분류@비율미상,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC,0.0,MSDS유래,MSDS유래,2026-09-14,2026-09-14,,,,
131341-86-1,131341-86-1,Fludioxonil,32,32,1,2,CAS,131341-86-1,1.0,86398,CAS_동의어일치,,,NC,1,NC,1,86398.0,https://pubchem.ncbi.nlm.nih.gov/compound/86398,ghs_4369c43cb681ca0b17943bd4.json,성공,참고_NITE-CMC#90:H320,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,2B|NC|NC,1.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC|NC,0.0,독립조사유래,독립조사유래,2026-09-14,2026-09-14,annex_vi,annex_vi,,
52645-53-1,52645-53-1,Permethrin,29,29,1,2,CAS,52645-53-1,1.0,40326,CAS_동의어일치,,,NC,1,NC,1,40326.0,https://pubchem.ncbi.nlm.nih.gov/compound/40326,ghs_a786f182a7fed5c18e6d5bf4.json,성공,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC,0.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC,0.0,독립조사유래,독립조사유래,2026-09-14,2026-09-14,annex_vi,annex_vi,,
1897-45-6,1897-45-6,Chlorothalonil,29,29,1,3,CAS,1897-45-6,1.0,15910,CAS_동의어일치,,,1,1,NC,1,15910.0,https://pubchem.ncbi.nlm.nih.gov/compound/15910,ghs_3089a63088bbae13c125adbc.json,성공,AnnexVI#63:H318|ECHA_CL#25:H318@100.0%|참고_NITE-CMC#57:H318|참고_NITE-CMC#55:H319|참고_NITE-CMC#54:H319|참고_Hazardous Chemical Information System (H#29:H318|참고_Hazardous Substances Data Bank (HSDB)#30:H318,1,tier1_AnnexVI_H코드(H318),tier1_AnnexVI,,1|1|1,0.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC|NC,0.0,독립조사유래,독립조사유래,2026-09-14,2026-09-14,annex_vi,annex_vi,,
57837-19-1,57837-19-1,Metalaxyl,28,28,1,3,CAS,57837-19-1,1.0,42586,CAS_동의어일치,,,NC,1,NC,1,42586.0,https://pubchem.ncbi.nlm.nih.gov/compound/42586,ghs_eea23ff2cda78962d4730748.json,성공,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC,0.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC,0.0,독립조사유래,독립조사유래,2026-09-14,2026-09-14,annex_vi,annex_vi,,
91465-08-6,91465-08-6,lambda-Cyhalothrin,23,23,1,6,CAS,91465-08-6,1.0,6440557,CAS_동의어일치,,,2,1,NC,1,6440557.0,https://pubchem.ncbi.nlm.nih.gov/compound/6440557,ghs_cab151dc7ca3741d39a90b4d.json,성공,ECHA_CL#20:H319@12.9%|참고_NITE-CMC#29:H320,,tier2 확정 블록 없음(1:미달(H319@12.9%)) — 결측,tier2_ECHA_CL,,2B|NC,,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC,0.0,독립조사유래,독립조사유래,2026-09-14,2026-09-14,echa_cl,annex_vi,,
210880-92-5,210880-92-5,Clothianidin 30 - 60 Active ingredient,23,23,1,3,CAS,210880-92-5,1.0,86287519,CAS_동의어일치,,,NC,1,NC,1,86287519.0,https://pubchem.ncbi.nlm.nih.gov/compound/86287519,ghs_ef63c5bc4e82dfe3e0718cfe.json,성공,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC|NC,0.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC|NC,0.0,MSDS유래,MSDS유래,2026-09-14,2026-09-14,,,,
131860-33-8,131860-33-8,Azoxystrobin 50 NA NA NA NA,22,22,1,2,CAS,131860-33-8,1.0,3034285,CAS_동의어일치,,,NC,1,NC,1,3034285.0,https://pubchem.ncbi.nlm.nih.gov/compound/3034285,ghs_68ef874c2ea65cea4e433454.json,성공,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC,0.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC,0.0,독립조사유래,독립조사유래,2026-09-14,2026-09-14,annex_vi,annex_vi,,
1071-83-6,1071-83-6,Glyphosate,21,21,1,4,CAS,1071-83-6,1.0,3496,CAS_동의어일치,,,1,1,NC,1,3496.0,https://pubchem.ncbi.nlm.nih.gov/compound/3496,ghs_1a4deaeea90db52947bd080f.json,성공,AnnexVI#62:H318|ECHA_CL#27:H318@99.7%|참고_NITE-CMC#52:H318|참고_NITE-CMC#53:H318|참고_NITE-CMC#51:H318|참고_Hazardous Chemical Information System (H#31:H318|참고_Hazardous Substances Data Bank (HSDB)#32:H318,1,tier1_AnnexVI_H코드(H318),tier1_AnnexVI,,1|1|1,0.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC|NC,0.0,MSDS유래,MSDS유래,2026-09-14,2026-09-14,,,,
2008-39-1,2008-39-1,"(2,4-Dichlorophenoxy)acetic acid dimethylamine",21,21,1,6,CAS,2008-39-1,1.0,16180,CAS_동의어일치,,,1,1,NC,1,16180.0,https://pubchem.ncbi.nlm.nih.gov/compound/16180,ghs_32268ef51c0c8bbc7f6c5521.json,성공,ECHA_CL#14:H318@100.0%,1,tier2_ECHA_CL_H코드(1:H코드(H318@100.0%)),tier2_ECHA_CL,100.0,,,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,,,MSDS유래,MSDS유래,2026-09-14,2026-09-14,,,,
60207-90-1,60207-90-1,Propiconazole,20,20,1,2,CAS,60207-90-1,1.0,43234,CAS_동의어일치,,,NC,1,NC,1,43234.0,https://pubchem.ncbi.nlm.nih.gov/compound/43234,ghs_dd848030651a26cb0312f8bf.json,성공,참고_NITE-CMC#129:H320,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,2B|NC,1.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC,0.0,MSDS유래,MSDS유래,2026-09-14,2026-09-14,,,,
