키,cas,이름,성분행수,제형수,cas_후보수,이름_후보수,조회경로,조회질의,CID후보수,CID후보전체,동일성등급,동일성보류,판정일자,원문취득일자,cid,출처URL,캐시파일,조회상태,eye_후보,eye_구분,eye_근거,eye_출처tier,eye_합의율,eye_참고출처값,eye_교차불일치,skin_후보,skin_구분,skin_근거,skin_출처tier,skin_합의율,skin_참고출처값,skin_교차불일치,skin_보류값,eye_보류값
57-55-6,57-55-6,"propane-,2-diol propane-1,2-diol >= 5 - < 10",25,25,1,12,CAS,57-55-6,1.0,1030,CAS_동의어일치,,2026-09-14,2026-09-14,1030.0,https://pubchem.ncbi.nlm.nih.gov/compound/1030,ghs_5c4286763a52feda2ab80aa8.json,성공,ECHA_CL#49:미분류@98.0%(n=6899),NC,NC_tier2_명시_미분류,tier2_ECHA_CL,98.01420495724018,NC,0.0,ECHA_CL#49:미분류@98.0%(n=6899),NC,NC_tier2_명시_미분류,tier2_ECHA_CL,98.01420495724018,NC,0.0,,
64742-94-5,64742-94-5,"Solvent Naphtha (petroleum), heavy >",24,24,1,16,,,,,보류_혼합물명,혼합물명,2026-09-14,,,,,CID없음,,,CID없음 — 결측 유지,,,,,,,CID없음 — 결측 유지,,,,,,
2634-33-5,2634-33-5,2-Benzisothiazol-3(2H)-one >= 0.005 - <=,21,21,1,11,CAS,2634-33-5,1.0,17520,CAS_동의어일치,,2026-09-14,2026-09-14,17520.0,https://pubchem.ncbi.nlm.nih.gov/compound/17520,ghs_dafbd74a241f2d71cb6dcaa6.json,성공,AnnexVI#134:H318|ECHA_CL#23:H318@99.9%|참고_NITE-CMC#128:H318|참고_Hazardous Chemical Information System (H#44:H318|참고_Hazardous Substances Data Bank (HSDB)#45:H318,1,tier1_AnnexVI_H코드(H318),tier1_AnnexVI,,1|1|1,0.0,AnnexVI#134:H315|ECHA_CL#23:H315@99.8%|참고_NITE-CMC#128:H315|참고_Hazardous Chemical Information System (H#44:H315|참고_Hazardous Substances Data Bank (HSDB)#45:H315,2,tier1_AnnexVI_H코드(H315),tier1_AnnexVI,,2|2|2,0.0,,
1332-58-7,1332-58-7,Kaolin clay,17,17,1,6,,,,,보류_혼합물명,혼합물명,2026-09-14,,,,,CID없음,,,CID없음 — 결측 유지,,,,,,,CID없음 — 결측 유지,,,,,,
107534-96-3,107534-96-3,Tebuconazole,15,15,1,2,CAS,107534-96-3,1.0,86102,CAS_동의어일치,,2026-09-14,2026-09-14,86102.0,https://pubchem.ncbi.nlm.nih.gov/compound/86102,ghs_09f05e606d324285b609a92d.json,성공,참고_NITE-CMC#110:H320,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,2B|NC,1.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC,0.0,,
64742-47-8,64742-47-8,"Distillates (petroleum), hydrotreated light",14,14,1,9,,,,,보류_혼합물명,혼합물명,2026-09-14,,,,,CID없음,,,CID없음 — 결측 유지,,,,,,,CID없음 — 결측 유지,,,,,,
68425-94-5,68425-94-5,"Alkylnaphthalenesulfonic acid, polymer with",10,10,1,6,,,,,보류_혼합물명,혼합물명,2026-09-14,,,,,CID없음,,,CID없음 — 결측 유지,,,,,,,CID없음 — 결측 유지,,,,,,
131341-86-1,131341-86-1,Fludioxonil,9,9,1,3,CAS,131341-86-1,1.0,86398,CAS_동의어일치,,2026-09-14,2026-09-14,86398.0,https://pubchem.ncbi.nlm.nih.gov/compound/86398,ghs_4369c43cb681ca0b17943bd4.json,성공,참고_NITE-CMC#90:H320,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,2B|NC|NC,1.0,,NC,NC_tier2_ECHA_CL_무코드,tier2_ECHA_CL,,NC|NC|NC,0.0,,
32351-70-5,32351-70-5,Mecoprop-dimethylammonium,9,9,1,1,CAS,32351-70-5,1.0,15177291,CAS_동의어일치,,2026-09-14,2026-09-14,15177291.0,https://pubchem.ncbi.nlm.nih.gov/compound/15177291,ghs_4e700b2b8cc3dbb5f9f29616.json,성공,,,규제출처(AnnexVI·ECHA) 없음 — 결측,,,,,,,규제출처(AnnexVI·ECHA) 없음 — 결측,,,,,,
7783-20-2,7783-20-2,Ammonium sulphate,8,8,1,6,CAS,7783-20-2,1.0,6097028,CAS_동의어일치,,2026-09-14,2026-09-14,6097028.0,https://pubchem.ncbi.nlm.nih.gov/compound/6097028,ghs_7d97c2a7ff098faf64a9a1ec.json,성공,ECHA_CL#27:H319@25.6%,,tier2 확정 블록 없음(1:미달(H319@25.6%)) — 결측,tier2_ECHA_CL,,NC,,ECHA_CL#27:H315@25.6%,,tier2 확정 블록 없음(1:미달(H315@25.6%)) — 결측,tier2_ECHA_CL,,NC,,,
188489-07-8,188489-07-8,Flufenpyr-ethyl,7,7,1,1,CAS,188489-07-8,1.0,3083546,CAS_동의어일치,,2026-09-14,2026-09-14,3083546.0,https://pubchem.ncbi.nlm.nih.gov/compound/3083546,ghs_a2cb36d039703718166ff902.json,성공,,,규제출처(AnnexVI·ECHA) 없음 — 결측,,,,,,,규제출처(AnnexVI·ECHA) 없음 — 결측,,,,,,
