키,성분행수
"Benzenesulfonic acid, hydroxy-, polymer with formaldehyde, phenol and urea, sodium salt",4
"Flammable Limits (LFL-UFL): - 15% Respiratory Protection: All mixers, loaders and handlers",2
Inks and Fountain Solutions (500-2500ppm),2
"Metalworking Fluids-Concentrate Max (30,000 ppm)",2
"PARAFFINS) ambientlevelsto(cid:3),hypoxiaresultsandthebodyisstarved",2
Paints and Coatings (500-2500 ppm),2
Polymer Emulsions/Latex emulsions (300-2000 ppm),2
Tankside ( 500-1800ppm),2
The antisapstain Mycostat® BX2 is applied to the surface of this product with dry residual concentration of,2
"1,2,4-Trimethylbenzene () Not Established 25 ppm TWA 25 ppm TWA ** No",2
Water-based adhesives (500-2500ppm),2
Xylene () 100 ppm TWA 100 ppm TWA; 150 100 ppm TWA ** IARC Group,2
be cleaned whenever the sediment occupies more than of the,2
cheese accounted for of the overall market of P-R cheese in 2017 and this percentage,2
determined to be greater than of the original design volume,2
percentage of rind and particles having a diameter lower than 0.5 mm ( w/w and <25%),2
"water repellents and wood preservative be completely dry before glazing, painting, % VOC",2
This product does not contain candidate substances of very high concern at a concentration >= (Regulation (EC) No,2
Oil-in-Water Emulsion (500-1800 ppm),2
"Bromo-3-nitrilopropionamide 2 Biocide B69, BaBcitorocnid Ke,- f1r0a8cturing X",1
"Silica, Amorphous Diatomaceous Earth to 20%",1
Alkylbenzyl dimethyl ammonium chloride (ADBAC) - 미확정(K-67은 7.5%),1
The Andersons GC Bifenthrin + 0.115% Imidacloprid Insecticide W,1
The Andersons GC Bifenthrin + 0.115% Imidacloprid Insecticide W pesticide information,1
"Active ingredient Liquid formulation of ~ 1,2-benzisothiazolin-3-one (BIT)",1
"Acrolein Biocides-AcroleBiniocide, fracturing X X S",1
Acetaldol SCA-130 InhibiItnohribitor X X S,1
Wet Wipes 150-187.5 ppm,1
"6-Hexanediamine 1 DWP-104 Clay control, fracturin1g X S",1
5–Chloro–2–methyl–4–isothiazolin–3–one.......... This product (pH 4.5) iscorrosive to mild steel,1
4-Dioxane 1 CRW9152A CoCrroorsrioosni oinnh iinbhitiobritor X X S,1
"2-Bromo-2-nitropropane-1,3-Diol (2-Bromo-2-nitro-1,3-p2ropaneBdEio-6l ,o Dr BWrPon-9o3p3oBli)ocide, fracturing X S",1
"hydrocarbons, C10-C13, aromatics, <1% naphthalene",1
in the range of,1
"methyl-2,4-pentanediol 1 EC1120A Unknown X M S",1
"p1r-oUpnedneyclaanmolino-, monosodium salt, polymer with - 1 EzeFlo F103 #1Surfactant, fracturing X S",1
pH ( in DI water): 2 - 6 waxes,1
"2,4-Trimethylbenzene 1 EC9010A.151 Unknown X X S",1
present at less than in the product. None of the components found in appreciable,1
"substance contains less than 0, w/w 1,3-butadiene (Einecs No -8). If the substance is not",1
"1H-Imidazole--ethanamine, 4,5-dihydro-, 2-nortall-oil alk1yl derivSsa,l atsc eotfa Fteastty AcUidn-kanmowinne Condensate",1
"정보없음 (GHS 유해문구 파싱오류, 실제 성분 아님)",1
Surfactants 75-125 ppm,1
"Propenamide, polymer with 2-propenoic ammonium salt1 Alcomer 123LAFlocculant X",1
"Chlorothalonil, Iprodione 9.4%, Thiophanate methyl 9.4%, Tebuconazole 2.8%",1
"Propanesulfonic acid, 2-methyl-2-((1-oxo-2- 1 SGA-II Gellant, fracturing)",1
Cumene () 50 ppm TWA (skin) 50 ppm TWA Not Established No,1
Dish detergents 75-125 ppm,1
"Bifenthrin* ......................... and handlers of agricultural pesticides. It contains requirements for training, de",1
Floor Polishes / 75-150 ppm,1
Imidacloprid [(2E)-1-[( 6-chloro-3-pyridinyl)methyl]-N,1
Benefits Air Care formulations 50-75 ppm,1
"Jasmonyl (1,3-Nonanediol acetate, mixed esters / Jasmonate)",1
Kaolin to 29%,1
LOW TEMP DISH MACHINE SANITIZER VICTORIA BAY,1
Lambda-Cyhalothrin () Not Established Not Established,1
Laundry 75-125 ppm,1
Automotive washes/ 75-125 ppm,1
"Methoxy-2-propanol 1 MorFlo III Surfactant, fracturing X X S",1
"1-Decanaminium, N,N-dimethyl-N-octyl-, chloride (mixed decyl/octyl dimethyl ammonium chloride)",1
Others (including particulates not otherwise classified),1
"Assay (HPLC): min. as the sum of Diuron, Carbendazim and Octylisothiazolinon (조성표 아님, 규격값)",1
"Assay (HPLC): min. as the sum of Diuron, Carbendazim and",1
"Poly(oxy-,2-ethanediyl), .alpha.-phosphono-.omega.-[2,4,6-tris(1-phenylethyl)phenoxy]- ≥1 - ≤3",1
"Poly(oxy-,2-ethanediyl), α-[2,4,6-tris(1-phenylethyl)phenyl]-ω-hydroxy- ≥1 - ≤3",1
All Purpose Cleaners 75-125 ppm,1
"Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimet1hyl-, NH-cCo-c2o #a1cyl derivSsu, rifnancetar nsta,l tfsracturing X",1
"제품 첨가 권장량 표에서 잘못 파싱됨 (성분 아님, 도료/플라스터 첨가 비율)",1
