endpoint,관할,결측처리,CT,지표,v6_원본,v7_정리,차이,잡음폭,판정
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_A0,roc_auc,0.6745,0.6673,-0.0072,0.0236,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_A0,pr_auc,0.8003,0.7943,-0.006,0.0225,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_A0,MCC,0.2354,0.2283,-0.0071,0.0379,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_A0,BA,0.5988,0.5949,-0.0039,0.0167,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_A0,recall,0.8749,0.8769,0.002,0.0128,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_A0,specificity,0.3227,0.313,-0.0097,0.0296,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_권고,roc_auc,0.6858,0.6824,-0.0034,0.0199,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_권고,pr_auc,0.8123,0.8108,-0.0015,0.0146,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_권고,MCC,0.2372,0.2414,0.0042,0.0486,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_권고,BA,0.6011,0.6016,0.0005,0.0237,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_권고,recall,0.8687,0.8752,0.0065,0.0148,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,nan0,CT_권고,specificity,0.3335,0.3281,-0.0054,0.0514,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,native,CT_A0,roc_auc,0.6678,0.6684,0.0006,0.0203,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,native,CT_A0,pr_auc,0.7979,0.799,0.0011,0.0201,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,native,CT_A0,MCC,0.2252,0.2342,0.009,0.0215,잡음 범위
eye,UN_GHS+K_REACH+US_OSHA,native,CT_A0,BA,0.5941,0.5969,0.0028,0.0097,잡음 범위
