endpoint,지표,v6_원본,전부정리,차이,잡음폭,판정
eye,roc_auc,0.6752,0.677,0.0018,0.0206,잡음 범위
eye,pr_auc,0.8058,0.8069,0.0011,0.0161,잡음 범위
eye,MCC,0.2455,0.2493,0.0038,0.0302,잡음 범위
eye,BA,0.6038,0.6052,0.0014,0.0148,잡음 범위
eye,recall,0.8746,0.8757,0.0011,0.0151,잡음 범위
eye,specificity,0.3329,0.3347,0.0018,0.0353,잡음 범위
skin,roc_auc,0.7726,0.7743,0.0017,0.0086,잡음 범위
skin,pr_auc,0.6538,0.6572,0.0034,0.0125,잡음 범위
skin,MCC,0.39,0.4054,0.0154,0.0316,잡음 범위
skin,BA,0.6858,0.6926,0.0068,0.0165,잡음 범위
skin,recall,0.5292,0.5354,0.0062,0.0329,잡음 범위
skin,specificity,0.8424,0.8498,0.0074,0.0145,잡음 범위
