endpoint,단계,지표,직전,현재,차이,잡음폭,판정
eye,② 중복4쌍정리,roc_auc,0.6752,0.6753,0.0001,0.0194,잡음 범위
eye,② 중복4쌍정리,pr_auc,0.8058,0.8066,0.0008,0.0176,잡음 범위
eye,② 중복4쌍정리,MCC,0.2455,0.2322,-0.0133,0.0247,잡음 범위
eye,② 중복4쌍정리,BA,0.6038,0.598,-0.0058,0.0143,잡음 범위
eye,② 중복4쌍정리,recall,0.8746,0.8715,-0.0031,0.0139,잡음 범위
eye,② 중복4쌍정리,specificity,0.3329,0.3245,-0.0084,0.0398,잡음 범위
eye,③ +죽은열제외,roc_auc,0.6753,0.6758,0.0005,0.0186,잡음 범위
eye,③ +죽은열제외,pr_auc,0.8066,0.8073,0.0007,0.0188,잡음 범위
eye,③ +죽은열제외,MCC,0.2322,0.2377,0.0055,0.0221,잡음 범위
eye,③ +죽은열제외,BA,0.598,0.6009,0.0029,0.0137,잡음 범위
eye,③ +죽은열제외,recall,0.8715,0.8707,-0.0008,0.0152,잡음 범위
eye,③ +죽은열제외,specificity,0.3245,0.3311,0.0066,0.0411,잡음 범위
eye,④ +감작CT제외,roc_auc,0.6758,0.677,0.0012,0.0198,잡음 범위
eye,④ +감작CT제외,pr_auc,0.8073,0.8069,-0.0004,0.0173,잡음 범위
eye,④ +감작CT제외,MCC,0.2377,0.2493,0.0116,0.0276,잡음 범위
eye,④ +감작CT제외,BA,0.6009,0.6052,0.0043,0.0142,잡음 범위
eye,④ +감작CT제외,recall,0.8707,0.8757,0.005,0.0164,잡음 범위
eye,④ +감작CT제외,specificity,0.3311,0.3347,0.0036,0.0366,잡음 범위
skin,② 중복4쌍정리,roc_auc,0.7726,0.7748,0.0022,0.0077,잡음 범위
skin,② 중복4쌍정리,pr_auc,0.6538,0.6572,0.0034,0.0094,잡음 범위
skin,② 중복4쌍정리,MCC,0.39,0.3921,0.0021,0.0239,잡음 범위
skin,② 중복4쌍정리,BA,0.6858,0.6861,0.0003,0.0088,잡음 범위
skin,② 중복4쌍정리,recall,0.5292,0.5264,-0.0028,0.0202,잡음 범위
skin,② 중복4쌍정리,specificity,0.8424,0.8458,0.0034,0.0222,잡음 범위
skin,③ +죽은열제외,roc_auc,0.7748,0.7735,-0.0013,0.0105,잡음 범위
skin,③ +죽은열제외,pr_auc,0.6572,0.6549,-0.0023,0.0129,잡음 범위
skin,③ +죽은열제외,MCC,0.3921,0.3962,0.0041,0.0268,잡음 범위
skin,③ +죽은열제외,BA,0.6861,0.6877,0.0016,0.0093,잡음 범위
skin,③ +죽은열제외,recall,0.5264,0.5264,0.0,0.0158,잡음 범위
skin,③ +죽은열제외,specificity,0.8458,0.8489,0.0031,0.0248,잡음 범위
skin,④ +감작CT제외,roc_auc,0.7735,0.7743,0.0008,0.0114,잡음 범위
skin,④ +감작CT제외,pr_auc,0.6549,0.6572,0.0023,0.016,잡음 범위
skin,④ +감작CT제외,MCC,0.3962,0.4054,0.0092,0.0345,잡음 범위
skin,④ +감작CT제외,BA,0.6877,0.6926,0.0049,0.017,잡음 범위
skin,④ +감작CT제외,recall,0.5264,0.5354,0.009,0.0285,잡음 범위
skin,④ +감작CT제외,specificity,0.8489,0.8498,0.0009,0.0171,잡음 범위
