열,노선,학습대상,판정근거,feature_role,sds_coderived
n_ingredients,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
n_pct_known,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
pct_sum_known,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
n_smiles,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
n_structural_na,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
n_smiles_ice,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
align_ok,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
n_ing_align_bad,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
has_epa_target,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
n_ing_active,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
n_ing_total_known,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
n_ing_missing,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
active_pct_sum,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
has_toxicity,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
n_tox_endpoints,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
tox_n_composition_rows,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
has_ntp_label,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
n_ntp_endpoints,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
n_y_conflict,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
sds_epa_eye_ambiguous,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
sds_epa_skin_ambiguous,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
ice_n_ingredients,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
ice_n_smiles,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
ice_active_pct_sum,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
has_ghs_label,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
is_mixture,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
has_y,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
trainable,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
trainable_ntp,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
trainable_ghs,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
trainable_epa,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
trainable_epa_any,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
review_matched,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
pc2_n_params,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
pc2_n_items,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
pc2_parse_ok,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
pc2_ph_lo,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_ph_hi,L1,True,완제품 SDS 9절 선언물성,chemistry,False
ph_basis_pct,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
pc2_vp,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_ph,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_mp,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_evap,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_autoignition,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_vapdens,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_density,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_solubility,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_viscosity,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_fp,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_logkow,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_decomp,L1,True,완제품 SDS 9절 선언물성,chemistry,False
pc2_bp,L1,True,완제품 SDS 9절 선언물성,chemistry,False
t11_present,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
t11_gated,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
t11_ld50_oral,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_ld50_oral_log,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_ld50_oral_censored,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
