Formulation_ID,Formulation_Name,formulation_code,physical_form,product_category,concentration_type,type_confidence,type_evidence_basis,signal_word,ghs_hazard_classes,acute_toxicity_route,environmental_hazard,h_codes,hazard_level_score,hazard_confidence,hazard_evidence_basis,use_class,target_pest_organism,target_crop_site,application_method,use_pattern,use_confidence,use_evidence_basis,epa_reg_number,regulatory_jurisdiction,registration_status,active_ingredient_declared,reach_registered,label_type,regulatory_confidence,regulatory_evidence_basis,active_pct_total,inert_pct_total,primary_active_ingredient,ingredient_count_class,concentration_class,pct_data_quality,formulation_complexity_score,ingredient_profile_confidence,profile_evidence_basis
EyeIrritation6pack_PID10,"2,4-DP [(2,4-Dichlorophenoxy) propionic acid]",UNKNOWN,unknown,pesticide/herbicide,unknown,LOW,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,unknown,HIGH,source_filename,2.0,98.0,"2,4-(Dichlorophenoxy)]-propionic acid",single,ultra_low,exact,1.0,,
EyeIrritation6pack_PID100,Atlantis Herbicide,UNKNOWN,liquid,pesticide/herbicide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,2.0,98.0,Mesosulfuron-methyl,multi_7p,ultra_low,partial,5.0,,
EyeIrritation6pack_PID1000,Tri-allate (#N/A),UNKNOWN,liquid,pesticide/herbicide,concentrate,MEDIUM,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,50.0,50.0,Tri-allate,ternary,medium,exact,3.0,,
EyeIrritation6pack_PID1001,Trifloxysulfuron-sodium,UNKNOWN,powder,pesticide/herbicide,unknown,LOW,pattern_inferred,WARNING,"['aquatic_acute_1', 'aquatic_chronic_1']",['none_identified'],aquatic_chronic,['H410'],2.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,unknown,HIGH,source_filename,,,Trifloxysulfuron-sodium,single,unknown,none,1.0,,
EyeIrritation6pack_PID1002,Triflurex HFP,UNKNOWN,liquid,pesticide/herbicide,concentrate,MEDIUM,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_partial,HIGH,source_filename,,,Trifluralin,single,unknown,none,1.0,,
EyeIrritation6pack_PID1004,Triticonazole Fungicide,UNKNOWN,powder,pesticide/fungicide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,,,triticonazole,single,unknown,none,1.0,,
EyeIrritation6pack_PID1005,Troysan 680,UNKNOWN,liquid,industrial_chemical,unknown,LOW,pattern_inferred,NONE,[],['none_identified'],none,[],1.0,MEDIUM,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,100.0,0.0,"Distillates (Petroleum), Hydrotreated Light",single,very_high,exact,1.0,,
EyeIrritation6pack_PID1007,Troysan V48,UNKNOWN,liquid,industrial_chemical,unknown,LOW,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,3.0,97.0,aminoethanol,binary,ultra_low,exact,2.0,,
EyeIrritation6pack_PID1008,Tru-Core Millwork Preservative Concentrate,UNKNOWN,liquid,wood_preservative,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,True,,product_page,MEDIUM,source_filename,6.5,93.5,water repellents and wood preservative,single,low,exact,1.0,,
EyeIrritation6pack_PID1009,TSS 75WG (CGA 362622 WG 75),WG,granule,pesticide/other,concentrate,HIGH,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,epa_label,LOW,no_basis,75.0,25.0,Active Ingredient,single,very_high,exact,1.0,,
